分店,地址,最近星巴克,距離(m),星巴克地址,WG經緯度,星巴克經緯度
World Gym高雄博愛店,高雄市左營區博愛二路320號,星巴克 裕誠門市,352.0,813高雄市左營區裕誠路396號,"22.6636463,120.3035812","22.665749599999998,120.30614539999999"
World Gym新竹國賓店,新竹市東區中華路二段190號,星巴克 西大門市,353.2,300新竹市東區西大路323號,"24.8049653,120.9658856","24.8019347,120.9648374"
World Gym台中西屯店,台中市西屯區西屯路2段258號,星巴克 河南青海門市,358.2,407臺中市西屯區河南路二段431號,"24.1712964,120.6469649","24.170478,120.64355009999998"
World Gym新北板橋重慶店,新北市板橋區重慶路247號,星巴克 板橋忠孝門市,361.9,220新北市板橋區忠孝路31號,"25.0004507,121.4636022","25.0021471,121.4605376"
World Gym台中一中店,台中市北區三民路三段125號,星巴克中友門市,363.1,40446臺中市北區三民路三段161號1樓C棟,"24.1488082,120.6833244","24.151808100000004,120.6847387"
World Gym新北永和店,新北市永和區仁愛路309號,星巴克 雙和門市,375.5,234新北市永和區中山路一段240號1樓,"25.0077737,121.5034366","25.0073641,121.50713540000001"
World Gym新北中和店,新北市中和區中山路三段35-3號,星巴克 環球門市,380.9,235新北市中和區中山路三段122號,"25.005635,121.478544","25.007054399999998,121.47510390000001"
World Gym台北民權西店,台北市大同區民權西路136號,星巴克（民權西門市）,401.1,104026臺北市中山區民權西路62號1-3樓,"25.062745,121.5161631","25.062587399999998,121.52014140000001"
World Gym台北公館店,台北市中正區羅斯福路四段68號,STARBUCKS 星巴克 (羅斯福門市),405.7,106臺北市大安區羅斯福路三段301號,"25.0145683,121.5342721","25.0174952,121.53186790000001"
World Gym苗栗頭份店,苗栗縣頭份市和平路102號,星巴克 頭份尚順門市,407.0,351苗栗縣頭份市中央路105號,"24.6859788,120.906199","24.6890453,120.903999"
World Gym高雄鳳山店,高雄市鳳山區中山路149號,星巴克 鳳山光遠門市,409.4,830高雄市鳳山區光遠路396號,"22.622589,120.3581239","22.626168099999997,120.3571868"
World Gym嘉義民族店,嘉義市西區民族路608號,星巴克 (嘉義中山門市),413.6,60041嘉義市西區中山路471號,"23.4757516,120.4456385","23.4794682,120.44579940000001"
World Gym桃園大園店,桃園市大園區中山南路268號,星巴克 大園門市,426.5,337桃園市大園區中正東路232號,"25.0597969,121.1997556","25.0614501,121.2035768"
World Gym屏東逢甲店,,星巴克 屏東門市,430.1,900屏東縣屏東市中正路72號,"22.6707397,120.4873977","22.6739858,120.489677"
World Gym屏東東港店,,星巴克-屏東東港門市,444.0,928屏東縣東港鎮光復路一段356號,"22.4683655,120.4507283","22.469179399999998,120.4549584"
World Gym台南新營店,台南市新營區中山路56之3號,Starbucks星巴克新營門市,451.1,730臺南市新營區中正路6-5號,"23.3061073,120.3203552","23.3076454,120.31626750000001"
World Gym台中東興店,台中市南區東興路一段81號,星巴克 文心大慶門市,458.7,402臺中市南區文心南路542號,"24.1204054,120.655457","24.120247900000003,120.65094049999999"
World Gym台北大直北安店,台北市中山區北安路554巷19號,Starbucks 星巴克實踐門市,465.1,10491臺北市中山區大直街70號1樓,"25.0801921,121.5489363","25.083568099999997,121.54621059999998"
World Gym高雄陽明店,高雄市三民區陽明路201號,星巴克 澄清文衡門市,466.8,807高雄市三民區文衡路505號,"22.6411884,120.3415101","22.641657600000002,120.34603039999999"
World Gym台中學府店,台中市南區學府路170號,STARBUCKS 星巴克 (國資圖門市),470.3,402臺中市南區五權南路100號,"24.129544,120.673965","24.127507599999998,120.6699031"
彰化溪湖店,彰化縣溪湖鎮西環路398號,星巴克 彰化溪湖門市,470.4,514彰化縣溪湖鎮東環路515號,"23.9608264,120.4773582","23.9622316,120.48172459999999"
World Gym新北土城中央店,新北市土城區中央路二段191號,STARBUCKS 星巴克 (土城日月光門市),470.5,236新北市土城區學府路二段210 號1F,"24.9754506,121.4421511","24.9787201,121.44511460000001"
World Gym新北三重店,新北市三重區重新路2段78號,星巴克 (三重正義門市),476.6,241新北市三重區正義北路140號,"25.0617709,121.4974781","25.065977,121.49657"
World Gym雲林虎尾店,,STARBUCKS 星巴克 (虎尾門市),487.3,632雲林縣虎尾鎮林森路一段491號,"23.7054625,120.4311446","23.709130299999998,120.4337635"
World Gym文心店,台中市南屯區文心路1段521號,STARBUCKS 星巴克 摩登典藏吧台 (大英門市),487.6,408臺中市南屯區公益路二段131號,"24.1542797,120.6459045","24.1506528,120.6486053"
